,Unnamed: 0,год,время_года,климат,город,страна,способ_охлаждения,режим_при_смешанном_типе_охлаждения,способ_обогрева,возраст,пол,ощущение_температуры,ощущение_температуры_(bool),предпочтительное_изменение_температуры,ощущение_движения_воздуха_(bool),предпочтительное_изменение_движения_воздуха,оценка_комфорта,утепление,температура_воздуха_в_помещении,температура_воздуха_на_улице,rh,скорость_воздуха,рост,вес,занавески,вентилятор,окно,двери,отопление,среднемесячная_температура_на_улице,количество_рекламаций,температура_удовлетворительная_%,количество_рекламаций_кат,возраст_кат,rh_кат
93,93,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Женский,0.0,1,Без изменений,1,Без изменений,,0.44,23.1,24.1,61.9,0.08,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,средний возраст,более_60
94,94,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Женский,3.0,-1,Холоднее,-1,Больше,,0.39,23.9,24.1,63.6,0.21,165.1,65.0,0,0,1,0,0,22.0,0,56.18,мало,средний возраст,более_60
95,95,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Женский,1.0,-1,Холоднее,1,Без изменений,,0.5,25.1,24.1,56.5,0.06,165.1,65.0,0,0,-1,-1,0,22.0,0,56.18,мало,средний возраст,норма
96,96,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35.0,Женский,0.0,1,Без изменений,1,Без изменений,,0.37,23.0,24.1,65.5,0.11,165.1,65.0,0,0,-1,-1,0,22.0,0,56.18,мало,молодой возраст,более_60
97,97,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,25.0,Женский,0.0,1,Без изменений,1,Без изменений,,0.56,24.8,24.1,73.6,0.08,165.1,65.0,0,0,1,-1,0,22.0,0,56.18,мало,молодой возраст,более_60
98,98,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55.0,Женский,0.0,1,Без изменений,1,Без изменений,,0.86,25.0,24.1,39.2,0.18,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,средний возраст,менее_40
99,99,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Женский,-0.4,1,Теплее,1,Без изменений,,0.67,24.1,24.1,73.1,0.07,165.1,65.0,0,0,-1,-1,0,22.0,0,56.18,мало,средний возраст,более_60
100,100,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,65.0,Женский,0.0,1,Без изменений,1,Без изменений,,0.5,25.2,24.1,28.3,0.15,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,пожилой возраст,менее_40
101,101,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Женский,3.0,-1,Холоднее,-1,Больше,,0.39,24.4,24.1,69.0,0.26,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,средний возраст,более_60
102,102,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,65.0,Женский,0.0,1,Без изменений,-1,Меньше,,0.78,25.2,24.1,32.1,0.13,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,пожилой возраст,менее_40
103,103,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Женский,2.0,-1,Холоднее,-1,Больше,,0.37,24.1,24.1,74.2,0.16,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,средний возраст,более_60
104,104,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Женский,2.0,-1,Холоднее,-1,Больше,,0.39,24.3,24.1,59.9,0.23,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,средний возраст,норма
105,105,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55.0,Женский,0.0,1,Без изменений,1,Без изменений,,0.38,24.6,24.1,54.6,0.07,165.1,65.0,0,0,-1,-1,0,22.0,0,56.18,мало,средний возраст,норма
106,106,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,65.0,Женский,0.5,1,Без изменений,1,Без изменений,,0.47,24.6,24.1,38.4,0.11,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,пожилой возраст,менее_40
107,107,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35.0,Женский,0.0,1,Без изменений,1,Без изменений,,0.43,25.3,24.1,73.0,0.1,165.1,65.0,0,0,-1,-1,0,22.0,0,56.18,мало,молодой возраст,более_60
108,108,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55.0,Женский,1.2,1,Без изменений,1,Без изменений,,0.59,23.3,24.1,40.2,0.13,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,средний возраст,норма
109,109,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Женский,1.0,1,Холоднее,-1,Больше,,0.69,23.6,24.1,61.8,0.08,165.1,65.0,0,0,-1,-1,0,22.0,3,56.18,много,средний возраст,более_60
110,110,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55.0,Женский,0.0,1,Без изменений,1,Без изменений,,0.39,24.2,24.1,62.6,0.05,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,средний возраст,более_60
111,111,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Женский,0.0,1,Без изменений,1,Без изменений,,0.41,24.7,24.1,56.3,0.07,165.1,65.0,0,0,1,0,0,22.0,0,56.18,мало,средний возраст,норма
112,112,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55.0,Женский,-0.4,1,Теплее,-1,Меньше,,0.53,24.4,24.1,59.0,0.1,165.1,65.0,0,0,-1,-1,0,22.0,0,56.18,мало,средний возраст,норма
113,113,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Женский,1.1,-1,Холоднее,-1,Больше,,0.43,25.1,24.1,71.7,0.11,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,средний возраст,более_60
114,114,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35.0,Женский,0.0,-1,Холоднее,-1,Больше,,0.39,24.4,24.1,70.2,0.1,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,молодой возраст,более_60
115,115,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35.0,Женский,0.0,1,Без изменений,1,Без изменений,,0.41,24.2,24.1,73.5,0.08,165.1,65.0,0,0,-1,-1,0,22.0,0,56.18,мало,молодой возраст,более_60
116,116,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35.0,Женский,1.1,1,Холоднее,1,Без изменений,,0.42,24.6,24.1,54.7,0.09,165.1,65.0,0,0,-1,-1,0,22.0,0,56.18,мало,молодой возраст,норма
117,117,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Женский,3.0,-1,Холоднее,-1,Больше,,0.39,24.8,24.1,51.7,0.16,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,средний возраст,норма
118,118,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35.0,Женский,1.0,1,Холоднее,1,Без изменений,,0.41,24.4,24.1,59.3,0.06,165.1,65.0,0,0,1,1,0,22.0,0,56.18,мало,молодой возраст,норма
119,119,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55.0,Женский,-1.0,1,Теплее,1,Без изменений,,0.4,23.1,24.1,61.9,0.09,165.1,65.0,0,0,-1,-1,0,22.0,0,56.18,мало,средний возраст,более_60
120,120,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55.0,Мужской,1.0,1,Без изменений,1,Без изменений,,0.43,25.7,24.1,60.7,0.14,165.1,65.0,0,0,1,0,0,22.0,0,77.98,мало,средний возраст,более_60
121,121,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35.0,Мужской,3.0,-1,Холоднее,-1,Больше,,0.46,25.7,24.1,64.1,0.12,165.1,65.0,0,0,1,1,0,22.0,0,77.98,мало,молодой возраст,более_60
122,122,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Мужской,1.0,1,Без изменений,1,Без изменений,,0.52,24.7,24.1,58.0,0.09,165.1,65.0,0,0,0,0,0,22.0,0,77.98,мало,средний возраст,норма
123,123,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.46,24.6,24.1,76.6,0.07,165.1,65.0,0,0,-1,-1,0,22.0,0,77.98,мало,молодой возраст,более_60
124,124,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.46,24.2,24.1,62.5,0.07,165.1,65.0,0,0,-1,-1,0,22.0,0,77.98,мало,молодой возраст,более_60
125,125,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.43,22.6,24.1,66.8,0.11,165.1,65.0,0,0,0,0,0,22.0,0,77.98,мало,средний возраст,более_60
126,126,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.41,25.0,24.1,73.1,0.08,165.1,65.0,0,0,1,0,0,22.0,0,77.98,мало,средний возраст,более_60
127,127,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Мужской,1.0,1,Холоднее,1,Без изменений,,0.46,22.7,24.1,47.8,0.12,165.1,65.0,0,0,0,1,0,22.0,0,77.98,мало,средний возраст,норма
128,128,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Мужской,1.0,1,Холоднее,1,Без изменений,,0.41,24.5,24.1,60.3,0.09,165.1,65.0,0,0,-1,-1,0,22.0,0,77.98,мало,средний возраст,более_60
129,129,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.55,24.1,24.1,62.6,0.06,165.1,65.0,0,0,-1,-1,0,22.0,0,77.98,мало,молодой возраст,более_60
130,130,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.46,24.2,24.1,74.8,0.12,165.1,65.0,0,0,0,0,0,22.0,0,77.98,мало,средний возраст,более_60
131,131,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,25.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.46,24.7,24.1,58.5,0.1,165.1,65.0,0,0,0,0,0,22.0,0,77.98,мало,молодой возраст,норма
132,132,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.55,24.3,24.1,58.6,0.08,165.1,65.0,0,0,0,0,0,22.0,0,77.98,мало,средний возраст,норма
133,133,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.46,24.3,24.1,60.0,0.08,165.1,65.0,0,0,-1,-1,0,22.0,0,77.98,мало,средний возраст,норма
134,134,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Мужской,2.0,-1,Холоднее,-1,Больше,,0.4,24.2,24.1,53.3,0.12,165.1,65.0,0,0,-1,-1,0,22.0,0,77.98,мало,средний возраст,норма
135,135,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.46,23.0,24.1,62.2,0.11,165.1,65.0,0,0,-1,-1,0,22.0,0,77.98,мало,молодой возраст,более_60
136,136,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.46,24.2,24.1,62.8,0.08,165.1,65.0,0,0,-1,-1,0,22.0,0,77.98,мало,средний возраст,более_60
137,137,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.46,24.6,24.1,70.1,0.08,165.1,65.0,0,0,-1,-1,0,22.0,0,77.98,мало,средний возраст,более_60
138,138,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.46,24.5,24.1,71.5,0.11,165.1,65.0,0,0,1,-1,0,22.0,0,77.98,мало,средний возраст,более_60
139,139,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,65.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.46,25.0,24.1,73.1,0.06,165.1,65.0,0,0,-1,-1,0,22.0,0,77.98,мало,пожилой возраст,более_60
140,140,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35.0,Мужской,1.0,-1,Холоднее,-1,Больше,,0.46,24.4,24.1,64.1,0.04,165.1,65.0,0,0,1,0,0,22.0,0,77.98,мало,молодой возраст,более_60
141,141,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55.0,Мужской,1.0,1,Без изменений,1,Без изменений,,0.46,24.2,24.1,59.5,0.16,165.1,65.0,0,0,1,0,0,22.0,0,77.98,мало,средний возраст,норма
142,142,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Мужской,1.0,1,Без изменений,1,Без изменений,,0.46,25.2,24.1,54.5,0.1,165.1,65.0,0,0,1,0,0,22.0,0,77.98,мало,средний возраст,норма
143,143,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.46,24.3,24.1,72.1,0.09,165.1,65.0,0,0,0,0,0,22.0,0,77.98,мало,средний возраст,более_60
144,144,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35.0,Мужской,1.0,1,Без изменений,1,Без изменений,,0.41,24.7,24.1,58.0,0.07,165.1,65.0,0,0,0,0,0,22.0,0,77.98,мало,молодой возраст,норма
145,145,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Мужской,1.0,1,Без изменений,1,Без изменений,,0.41,24.5,24.1,52.5,0.08,165.1,65.0,0,0,-1,-1,0,22.0,0,77.98,мало,средний возраст,норма
146,146,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,25.0,Мужской,0.8,1,Без изменений,-1,Больше,,0.52,22.8,24.1,59.0,0.08,165.1,65.0,0,0,-1,-1,0,22.0,0,77.98,мало,молодой возраст,норма
147,147,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.43,24.0,24.1,63.9,0.09,165.1,65.0,0,0,0,0,0,22.0,0,77.98,мало,средний возраст,более_60
148,148,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35.0,Мужской,1.1,1,Холоднее,1,Больше,,0.41,25.2,24.1,67.4,0.05,165.1,65.0,0,0,0,0,0,22.0,0,77.98,мало,молодой возраст,более_60
149,149,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.58,23.5,24.1,57.6,0.1,165.1,65.0,0,0,0,-1,0,22.0,0,77.98,мало,средний возраст,норма
150,150,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Мужской,1.0,1,Без изменений,1,Без изменений,,0.46,24.2,24.1,53.1,0.1,165.1,65.0,0,0,-1,-1,0,22.0,0,77.98,мало,средний возраст,норма
151,151,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Мужской,-1.0,1,Теплее,-1,Меньше,,0.59,23.6,24.1,54.3,0.1,165.1,65.0,0,0,0,0,0,22.0,0,77.98,мало,средний возраст,норма
152,152,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Мужской,1.0,-1,Холоднее,1,Без изменений,,0.4,24.4,24.1,71.8,0.05,165.1,65.0,0,0,0,0,0,22.0,0,77.98,мало,средний возраст,более_60
153,153,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35.0,Мужской,1.0,1,Без изменений,-1,Больше,,0.46,25.2,24.1,69.7,0.06,165.1,65.0,0,0,0,0,0,22.0,0,77.98,мало,молодой возраст,более_60
154,154,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.41,24.8,24.1,71.1,0.07,165.1,65.0,0,0,1,0,0,22.0,0,77.98,мало,средний возраст,более_60
155,155,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35.0,Мужской,1.0,-1,Холоднее,1,Без изменений,,0.41,24.7,24.1,56.3,0.08,165.1,65.0,0,0,0,0,0,22.0,0,77.98,мало,молодой возраст,норма
156,156,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,65.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.46,24.9,24.1,61.4,0.08,165.1,65.0,0,0,-1,-1,0,22.0,0,77.98,мало,пожилой возраст,более_60
157,157,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Мужской,1.0,1,Холоднее,-1,Больше,,0.46,24.3,24.1,62.4,0.1,165.1,65.0,0,0,-1,1,0,22.0,0,77.98,мало,средний возраст,более_60
158,158,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35.0,Мужской,1.0,1,Холоднее,1,Без изменений,,0.46,25.4,24.1,59.2,0.08,165.1,65.0,0,0,0,0,0,22.0,0,77.98,мало,молодой возраст,норма
159,159,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Мужской,1.0,-1,Холоднее,-1,Больше,,0.5,25.4,24.1,64.0,0.11,165.1,65.0,0,0,0,0,0,22.0,0,77.98,мало,средний возраст,более_60
160,160,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.46,24.4,24.1,59.3,0.11,165.1,65.0,0,0,1,0,0,22.0,0,77.98,мало,средний возраст,норма
161,161,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.46,25.2,24.1,72.7,0.08,165.1,65.0,0,0,-1,-1,0,22.0,0,77.98,мало,молодой возраст,более_60
162,162,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Мужской,1.0,-1,Холоднее,-1,Больше,,0.4,24.4,24.1,58.2,0.13,165.1,65.0,0,0,-1,-1,0,22.0,0,77.98,мало,средний возраст,норма
163,163,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35.0,Мужской,-0.1,1,Без изменений,1,Без изменений,,0.46,24.5,24.1,71.7,0.11,165.1,65.0,0,0,1,0,0,22.0,0,77.98,мало,молодой возраст,более_60
164,164,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.46,24.6,24.1,55.5,0.11,165.1,65.0,0,0,0,0,0,22.0,0,77.98,мало,средний возраст,норма
165,165,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35.0,Мужской,2.0,-1,Холоднее,1,Без изменений,,0.41,25.4,24.1,50.4,0.07,165.1,65.0,0,0,-1,-1,0,22.0,0,77.98,мало,молодой возраст,норма
166,166,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.46,25.0,24.1,73.1,0.07,165.1,65.0,0,0,-1,-1,0,22.0,0,77.98,мало,средний возраст,более_60
167,167,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55.0,Мужской,1.0,1,Без изменений,1,Без изменений,,0.46,24.1,24.1,66.8,0.11,165.1,65.0,0,0,-1,-1,0,22.0,0,77.98,мало,средний возраст,более_60
168,168,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Мужской,1.0,1,Без изменений,1,Без изменений,,0.41,24.8,24.1,69.8,0.08,165.1,65.0,0,0,-1,-1,0,22.0,0,77.98,мало,средний возраст,более_60
169,169,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.5,24.5,24.1,54.3,0.06,165.1,65.0,0,0,-1,-1,0,22.0,0,77.98,мало,молодой возраст,норма
170,170,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Мужской,0.0,1,Без изменений,-1,Больше,,0.46,24.1,24.1,55.6,0.12,165.1,65.0,0,0,0,-1,0,22.0,0,77.98,мало,средний возраст,норма
171,171,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35.0,Мужской,1.0,1,Без изменений,1,Без изменений,,0.46,25.1,24.1,54.8,0.11,165.1,65.0,0,0,1,0,0,22.0,0,77.98,мало,молодой возраст,норма
172,172,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.46,25.7,24.1,60.4,0.12,165.1,65.0,0,0,1,0,0,22.0,0,77.98,мало,молодой возраст,более_60
173,173,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.43,24.8,24.1,73.5,0.06,165.1,65.0,0,0,-1,-1,0,22.0,0,77.98,мало,средний возраст,более_60
174,174,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.46,23.1,24.1,61.9,0.12,165.1,65.0,0,0,1,0,0,22.0,0,77.98,мало,средний возраст,более_60
175,175,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35.0,Мужской,1.0,-1,Холоднее,-1,Больше,,0.46,25.4,24.1,56.2,0.11,165.1,65.0,0,0,1,0,0,22.0,0,77.98,мало,молодой возраст,норма
176,176,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35.0,Мужской,1.2,1,Без изменений,1,Без изменений,,0.46,25.4,24.1,70.2,0.12,165.1,65.0,0,0,1,0,0,22.0,0,77.98,мало,молодой возраст,более_60
177,177,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.46,25.2,24.1,61.8,0.05,165.1,65.0,0,0,-1,-1,0,22.0,0,77.98,мало,молодой возраст,более_60
178,178,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.46,25.5,24.1,56.0,0.07,165.1,65.0,0,0,0,0,0,22.0,0,77.98,мало,средний возраст,норма
179,179,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Мужской,3.0,1,Холоднее,1,Без изменений,,0.43,24.5,24.1,59.9,0.07,165.1,65.0,0,0,-1,0,0,22.0,0,77.98,мало,средний возраст,норма
180,180,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Мужской,1.0,1,Холоднее,-1,Больше,,0.46,24.0,24.1,57.3,0.07,165.1,65.0,0,0,0,1,0,22.0,0,77.98,мало,средний возраст,норма
181,181,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.43,24.6,24.1,59.2,0.08,165.1,65.0,0,0,0,0,0,22.0,0,77.98,мало,средний возраст,норма
182,182,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.46,24.1,24.1,66.9,0.09,165.1,65.0,0,0,-1,-1,0,22.0,0,77.98,мало,молодой возраст,более_60
183,183,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.46,23.1,24.1,62.7,0.08,165.1,65.0,0,0,-1,-1,0,22.0,0,77.98,мало,средний возраст,более_60
184,184,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.46,24.4,24.1,60.2,0.07,165.1,65.0,0,0,-1,-1,0,22.0,0,77.98,мало,средний возраст,более_60
185,185,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,25.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.46,22.7,24.1,67.5,0.11,165.1,65.0,0,0,-1,-1,0,22.0,0,77.98,мало,молодой возраст,более_60
186,186,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.46,23.3,24.1,64.1,0.11,165.1,65.0,0,0,0,0,0,22.0,0,77.98,мало,средний возраст,более_60
